#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
7.000000,  0.00,     1150.0,   0.8121E+26
7.000000,  0.00,     1155.0,   0.7767E+26
7.000000,  0.00,     1160.0,   0.6013E+26
7.000000,  0.00,     1165.0,   0.1354E+26
7.000000,  0.00,     1170.0,   0.9394E+25
7.000000,  0.00,     1175.0,   0.8605E+25
7.000000,  0.00,     1180.0,   0.1803E+26
7.000000,  0.00,     1185.0,   0.1076E+26
7.000000,  0.00,     1190.0,   0.1142E+25
7.000000,  0.00,     1195.0,   0.3676E+25
7.000000,  0.00,     1200.0,   0.2796E+26
7.000000,  0.00,     1205.0,   0.1267E+27
7.000000,  0.00,     1210.0,   0.4408E+27
7.000000,  0.00,     1215.0,   0.6414E+27
7.000000,  0.00,     1220.0,   0.3391E+27
7.000000,  0.00,     1225.0,   0.5726E+26
7.000000,  0.00,     1230.0,   0.8625E+25
7.000000,  0.00,     1235.0,   0.8139E+25
7.000000,  0.00,     1240.0,   0.7965E+25
7.000000,  0.00,     1245.0,   0.5511E+25
7.000000,  0.00,     1250.0,   0.4459E+25
7.000000,  0.00,     1255.0,   0.4277E+25
7.000000,  0.00,     1260.0,   0.5167E+25
7.000000,  0.00,     1265.0,   0.2440E+25
7.000000,  0.00,     1270.0,   0.1149E+25
7.000000,  0.00,     1275.0,   0.2637E+25
7.000000,  0.00,     1280.0,   0.5625E+25
7.000000,  0.00,     1285.0,   0.5293E+25
7.000000,  0.00,     1290.0,   0.2433E+25
7.000000,  0.00,     1295.0,   0.2448E+25
7.000000,  0.00,     1300.0,   0.7553E+25
7.000000,  0.00,     1305.0,   0.7204E+25
7.000000,  0.00,     1310.0,   0.4485E+25
7.000000,  0.00,     1315.0,   0.5107E+25
7.000000,  0.00,     1320.0,   0.4146E+25
7.000000,  0.00,     1325.0,   0.3753E+25
7.000000,  0.00,     1330.0,   0.7355E+25
7.000000,  0.00,     1335.0,   0.1094E+26
7.000000,  0.00,     1340.0,   0.3925E+25
7.000000,  0.00,     1345.0,   0.1085E+25
7.000000,  0.00,     1350.0,   0.2850E+25
7.000000,  0.00,     1355.0,   0.4068E+25
7.000000,  0.00,     1360.0,   0.4056E+25
7.000000,  0.00,     1365.0,   0.4582E+25
7.000000,  0.00,     1370.0,   0.3055E+25
7.000000,  0.00,     1375.0,   0.3616E+25
7.000000,  0.00,     1380.0,   0.4735E+25
7.000000,  0.00,     1385.0,   0.4863E+25
7.000000,  0.00,     1390.0,   0.3928E+25
7.000000,  0.00,     1395.0,   0.6206E+25
7.000000,  0.00,     1400.0,   0.6335E+25
7.000000,  0.00,     1405.0,   0.7713E+25
7.000000,  0.00,     1410.0,   0.6152E+25
7.000000,  0.00,     1415.0,   0.3148E+25
7.000000,  0.00,     1420.0,   0.2485E+25
7.000000,  0.00,     1425.0,   0.4043E+25
7.000000,  0.00,     1430.0,   0.5627E+25
7.000000,  0.00,     1435.0,   0.4413E+25
7.000000,  0.00,     1440.0,   0.6029E+25
7.000000,  0.00,     1445.0,   0.1022E+26
7.000000,  0.00,     1450.0,   0.9237E+25
7.000000,  0.00,     1455.0,   0.5772E+25
7.000000,  0.00,     1460.0,   0.3826E+25
7.000000,  0.00,     1465.0,   0.5178E+25
7.000000,  0.00,     1470.0,   0.7780E+25
7.000000,  0.00,     1475.0,   0.8307E+25
7.000000,  0.00,     1480.0,   0.7922E+25
7.000000,  0.00,     1485.0,   0.7686E+25
7.000000,  0.00,     1490.0,   0.7599E+25
7.000000,  0.00,     1495.0,   0.8294E+25
7.000000,  0.00,     1500.0,   0.8235E+25
7.000000,  0.00,     1505.0,   0.6987E+25
7.000000,  0.00,     1510.0,   0.6810E+25
7.000000,  0.00,     1515.0,   0.7031E+25
7.000000,  0.00,     1520.0,   0.6992E+25
7.000000,  0.00,     1525.0,   0.7721E+25
7.000000,  0.00,     1530.0,   0.9295E+25
7.000000,  0.00,     1535.0,   0.9831E+25
7.000000,  0.00,     1540.0,   0.9809E+25
7.000000,  0.00,     1545.0,   0.1820E+26
7.000000,  0.00,     1550.0,   0.2049E+26
7.000000,  0.00,     1555.0,   0.1091E+26
7.000000,  0.00,     1560.0,   0.1124E+26
7.000000,  0.00,     1565.0,   0.1033E+26
7.000000,  0.00,     1570.0,   0.9907E+25
7.000000,  0.00,     1575.0,   0.1200E+26
7.000000,  0.00,     1580.0,   0.9733E+25
7.000000,  0.00,     1585.0,   0.9519E+25
7.000000,  0.00,     1590.0,   0.9501E+25
7.000000,  0.00,     1595.0,   0.7958E+25
7.000000,  0.00,     1600.0,   0.7352E+25
7.000000,  0.00,     1605.0,   0.9846E+25
7.000000,  0.00,     1610.0,   0.8834E+25
7.000000,  0.00,     1615.0,   0.6515E+25
7.000000,  0.00,     1620.0,   0.5429E+25
7.000000,  0.00,     1625.0,   0.7508E+25
7.000000,  0.00,     1630.0,   0.1059E+26
7.000000,  0.00,     1635.0,   0.1327E+26
7.000000,  0.00,     1640.0,   0.1264E+26
7.000000,  0.00,     1645.0,   0.1069E+26
7.000000,  0.00,     1650.0,   0.1128E+26
7.000000,  0.00,     1655.0,   0.1450E+26
7.000000,  0.00,     1660.0,   0.1750E+26
7.000000,  0.00,     1665.0,   0.1511E+26
7.000000,  0.00,     1670.0,   0.1305E+26
7.000000,  0.00,     1675.0,   0.1068E+26
7.000000,  0.00,     1680.0,   0.1268E+26
7.000000,  0.00,     1685.0,   0.1230E+26
7.000000,  0.00,     1690.0,   0.1264E+26
7.000000,  0.00,     1695.0,   0.1499E+26
7.000000,  0.00,     1700.0,   0.1679E+26
7.000000,  0.00,     1705.0,   0.1510E+26
7.000000,  0.00,     1710.0,   0.1406E+26
7.000000,  0.00,     1715.0,   0.1552E+26
7.000000,  0.00,     1720.0,   0.1692E+26
7.000000,  0.00,     1725.0,   0.1776E+26
7.000000,  0.00,     1730.0,   0.1757E+26
7.000000,  0.00,     1735.0,   0.1993E+26
7.000000,  0.00,     1740.0,   0.2126E+26
7.000000,  0.00,     1745.0,   0.2431E+26
7.000000,  0.00,     1750.0,   0.2554E+26
7.000000,  0.00,     1755.0,   0.2396E+26
7.000000,  0.00,     1760.0,   0.2560E+26
7.000000,  0.00,     1765.0,   0.2815E+26
7.000000,  0.00,     1770.0,   0.2984E+26
7.000000,  0.00,     1775.0,   0.3405E+26
