#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
5.000000,  0.00,     1760.0,   0.5398E+25
5.000000,  0.00,     1765.0,   0.5139E+25
5.000000,  0.00,     1770.0,   0.5336E+25
5.000000,  0.00,     1775.0,   0.5646E+25
5.000000,  0.00,     1780.0,   0.5669E+25
5.000000,  0.00,     1785.0,   0.5297E+25
5.000000,  0.00,     1790.0,   0.4447E+25
5.000000,  0.00,     1795.0,   0.5710E+25
5.000000,  0.00,     1800.0,   0.7096E+25
5.000000,  0.00,     1805.0,   0.1113E+26
5.000000,  0.00,     1810.0,   0.1433E+26
5.000000,  0.00,     1815.0,   0.1852E+26
5.000000,  0.00,     1820.0,   0.1776E+26
5.000000,  0.00,     1825.0,   0.9931E+25
5.000000,  0.00,     1830.0,   0.8440E+25
5.000000,  0.00,     1835.0,   0.8452E+25
5.000000,  0.00,     1840.0,   0.8358E+25
5.000000,  0.00,     1845.0,   0.7761E+25
5.000000,  0.00,     1850.0,   0.8123E+25
5.000000,  0.00,     1855.0,   0.8927E+25
5.000000,  0.00,     1860.0,   0.9362E+25
5.000000,  0.00,     1865.0,   0.1010E+26
5.000000,  0.00,     1870.0,   0.1099E+26
5.000000,  0.00,     1875.0,   0.9942E+25
5.000000,  0.00,     1880.0,   0.1031E+26
5.000000,  0.00,     1885.0,   0.1063E+26
5.000000,  0.00,     1890.0,   0.1238E+26
5.000000,  0.00,     1895.0,   0.1246E+26
5.000000,  0.00,     1900.0,   0.1243E+26
5.000000,  0.00,     1905.0,   0.4642E+25
5.000000,  0.00,     1910.0,   0.4840E+25
5.000000,  0.00,     1915.0,   0.5244E+25
5.000000,  0.00,     1920.0,   0.5563E+25
5.000000,  0.00,     1925.0,   0.5564E+25
5.000000,  0.00,     1930.0,   0.5664E+25
5.000000,  0.00,     1935.0,   0.5594E+25
5.000000,  0.00,     1940.0,   0.5973E+25
5.000000,  0.00,     1945.0,   0.6120E+25
5.000000,  0.00,     1950.0,   0.2051E+26
5.000000,  0.00,     1955.0,   0.3661E+26
5.000000,  0.00,     1960.0,   0.2655E+26
5.000000,  0.00,     1965.0,   0.2163E+26
5.000000,  0.00,     1970.0,   0.3350E+26
5.000000,  0.00,     1975.0,   0.2803E+26
5.000000,  0.00,     1980.0,   0.2978E+26
5.000000,  0.00,     1985.0,   0.3021E+26
5.000000,  0.00,     1990.0,   0.2031E+26
5.000000,  0.00,     1995.0,   0.3679E+26
5.000000,  0.00,     2000.0,   0.4096E+26
5.000000,  0.00,     2005.0,   0.1517E+26
5.000000,  0.00,     2010.0,   0.1362E+26
5.000000,  0.00,     2015.0,   0.1855E+26
5.000000,  0.00,     2020.0,   0.1990E+26
5.000000,  0.00,     2025.0,   0.1700E+26
5.000000,  0.00,     2030.0,   0.1307E+26
5.000000,  0.00,     2035.0,   0.1723E+26
5.000000,  0.00,     2040.0,   0.1735E+26
5.000000,  0.00,     2045.0,   0.1595E+26
5.000000,  0.00,     2050.0,   0.4924E+26
5.000000,  0.00,     2055.0,   0.3663E+26
5.000000,  0.00,     2060.0,   0.4022E+26
5.000000,  0.00,     2065.0,   0.4357E+26
5.000000,  0.00,     2070.0,   0.5421E+26
5.000000,  0.00,     2075.0,   0.5626E+26
5.000000,  0.00,     2080.0,   0.5671E+26
5.000000,  0.00,     2085.0,   0.5564E+26
