#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
1.000000,  0.00,     1150.0,   0.4113E+26
1.000000,  0.00,     1155.0,   0.4090E+26
1.000000,  0.00,     1160.0,   0.3317E+26
1.000000,  0.00,     1165.0,   0.8880E+25
1.000000,  0.00,     1170.0,   0.6685E+25
1.000000,  0.00,     1175.0,   0.7188E+25
1.000000,  0.00,     1180.0,   0.1080E+26
1.000000,  0.00,     1185.0,   0.6414E+25
1.000000,  0.00,     1190.0,   0.1141E+25
1.000000,  0.00,     1195.0,   0.3963E+25
1.000000,  0.00,     1200.0,   0.2275E+26
1.000000,  0.00,     1205.0,   0.1185E+27
1.000000,  0.00,     1210.0,   0.3895E+27
1.000000,  0.00,     1215.0,   0.5351E+27
1.000000,  0.00,     1220.0,   0.2704E+27
1.000000,  0.00,     1225.0,   0.4351E+26
1.000000,  0.00,     1230.0,   0.6150E+25
1.000000,  0.00,     1235.0,   0.5586E+25
1.000000,  0.00,     1240.0,   0.5539E+25
1.000000,  0.00,     1245.0,   0.3610E+25
1.000000,  0.00,     1250.0,   0.2922E+25
1.000000,  0.00,     1255.0,   0.2767E+25
1.000000,  0.00,     1260.0,   0.3589E+25
1.000000,  0.00,     1265.0,   0.1969E+25
1.000000,  0.00,     1270.0,   0.8687E+24
1.000000,  0.00,     1275.0,   0.1693E+25
1.000000,  0.00,     1280.0,   0.3204E+25
1.000000,  0.00,     1285.0,   0.2907E+25
1.000000,  0.00,     1290.0,   0.1620E+25
1.000000,  0.00,     1295.0,   0.1694E+25
1.000000,  0.00,     1300.0,   0.5649E+25
1.000000,  0.00,     1305.0,   0.5976E+25
1.000000,  0.00,     1310.0,   0.3076E+25
1.000000,  0.00,     1315.0,   0.2828E+25
1.000000,  0.00,     1320.0,   0.2281E+25
1.000000,  0.00,     1325.0,   0.2388E+25
1.000000,  0.00,     1330.0,   0.5299E+25
1.000000,  0.00,     1335.0,   0.8922E+25
1.000000,  0.00,     1340.0,   0.3005E+25
1.000000,  0.00,     1345.0,   0.8158E+24
1.000000,  0.00,     1350.0,   0.1761E+25
1.000000,  0.00,     1355.0,   0.2611E+25
1.000000,  0.00,     1360.0,   0.2542E+25
1.000000,  0.00,     1365.0,   0.2626E+25
1.000000,  0.00,     1370.0,   0.1641E+25
1.000000,  0.00,     1375.0,   0.1938E+25
1.000000,  0.00,     1380.0,   0.2541E+25
1.000000,  0.00,     1385.0,   0.2706E+25
1.000000,  0.00,     1390.0,   0.2940E+25
1.000000,  0.00,     1395.0,   0.4224E+25
1.000000,  0.00,     1400.0,   0.3897E+25
1.000000,  0.00,     1405.0,   0.4906E+25
1.000000,  0.00,     1410.0,   0.3681E+25
1.000000,  0.00,     1415.0,   0.1941E+25
1.000000,  0.00,     1420.0,   0.1528E+25
1.000000,  0.00,     1425.0,   0.2564E+25
1.000000,  0.00,     1430.0,   0.3166E+25
1.000000,  0.00,     1435.0,   0.2376E+25
1.000000,  0.00,     1440.0,   0.3395E+25
1.000000,  0.00,     1445.0,   0.5957E+25
1.000000,  0.00,     1450.0,   0.5418E+25
1.000000,  0.00,     1455.0,   0.3272E+25
1.000000,  0.00,     1460.0,   0.2261E+25
1.000000,  0.00,     1465.0,   0.3160E+25
1.000000,  0.00,     1470.0,   0.4733E+25
1.000000,  0.00,     1475.0,   0.4824E+25
1.000000,  0.00,     1480.0,   0.4462E+25
1.000000,  0.00,     1485.0,   0.4876E+25
1.000000,  0.00,     1490.0,   0.4777E+25
1.000000,  0.00,     1495.0,   0.5119E+25
1.000000,  0.00,     1500.0,   0.4933E+25
1.000000,  0.00,     1505.0,   0.3972E+25
1.000000,  0.00,     1510.0,   0.3981E+25
1.000000,  0.00,     1515.0,   0.3948E+25
1.000000,  0.00,     1520.0,   0.3947E+25
1.000000,  0.00,     1525.0,   0.4402E+25
1.000000,  0.00,     1530.0,   0.5540E+25
1.000000,  0.00,     1535.0,   0.5886E+25
1.000000,  0.00,     1540.0,   0.5635E+25
1.000000,  0.00,     1545.0,   0.1246E+26
1.000000,  0.00,     1550.0,   0.1445E+26
1.000000,  0.00,     1555.0,   0.6555E+25
1.000000,  0.00,     1560.0,   0.6480E+25
1.000000,  0.00,     1565.0,   0.5712E+25
1.000000,  0.00,     1570.0,   0.5090E+25
1.000000,  0.00,     1575.0,   0.6529E+25
1.000000,  0.00,     1580.0,   0.5328E+25
1.000000,  0.00,     1585.0,   0.5230E+25
1.000000,  0.00,     1590.0,   0.5096E+25
1.000000,  0.00,     1595.0,   0.4420E+25
1.000000,  0.00,     1600.0,   0.4237E+25
1.000000,  0.00,     1605.0,   0.5585E+25
1.000000,  0.00,     1610.0,   0.4495E+25
1.000000,  0.00,     1615.0,   0.3392E+25
1.000000,  0.00,     1620.0,   0.2844E+25
1.000000,  0.00,     1625.0,   0.4095E+25
1.000000,  0.00,     1630.0,   0.5806E+25
1.000000,  0.00,     1635.0,   0.7853E+25
1.000000,  0.00,     1640.0,   0.8819E+25
1.000000,  0.00,     1645.0,   0.5995E+25
1.000000,  0.00,     1650.0,   0.5774E+25
1.000000,  0.00,     1655.0,   0.9354E+25
1.000000,  0.00,     1660.0,   0.1089E+26
1.000000,  0.00,     1665.0,   0.8413E+25
1.000000,  0.00,     1670.0,   0.7251E+25
1.000000,  0.00,     1675.0,   0.5414E+25
1.000000,  0.00,     1680.0,   0.6038E+25
1.000000,  0.00,     1685.0,   0.5985E+25
1.000000,  0.00,     1690.0,   0.6242E+25
1.000000,  0.00,     1695.0,   0.7534E+25
1.000000,  0.00,     1700.0,   0.8378E+25
1.000000,  0.00,     1705.0,   0.7521E+25
1.000000,  0.00,     1710.0,   0.7206E+25
1.000000,  0.00,     1715.0,   0.7919E+25
1.000000,  0.00,     1720.0,   0.8109E+25
1.000000,  0.00,     1725.0,   0.8139E+25
1.000000,  0.00,     1730.0,   0.7923E+25
1.000000,  0.00,     1735.0,   0.9230E+25
1.000000,  0.00,     1740.0,   0.9868E+25
1.000000,  0.00,     1745.0,   0.1109E+26
1.000000,  0.00,     1750.0,   0.1162E+26
1.000000,  0.00,     1755.0,   0.1149E+26
1.000000,  0.00,     1760.0,   0.1200E+26
1.000000,  0.00,     1765.0,   0.1287E+26
1.000000,  0.00,     1770.0,   0.1348E+26
1.000000,  0.00,     1775.0,   0.1524E+26
1.000000,  0.00,     1780.0,   0.1410E+26
1.000000,  0.00,     1785.0,   0.1278E+26
1.000000,  0.00,     1790.0,   0.9715E+25
1.000000,  0.00,     1795.0,   0.1176E+26
1.000000,  0.00,     1800.0,   0.1500E+26
1.000000,  0.00,     1805.0,   0.1977E+26
1.000000,  0.00,     1810.0,   0.2436E+26
1.000000,  0.00,     1815.0,   0.2955E+26
1.000000,  0.00,     1820.0,   0.2975E+26
1.000000,  0.00,     1825.0,   0.2154E+26
1.000000,  0.00,     1830.0,   0.2004E+26
1.000000,  0.00,     1835.0,   0.2037E+26
1.000000,  0.00,     1840.0,   0.2007E+26
1.000000,  0.00,     1845.0,   0.1858E+26
1.000000,  0.00,     1850.0,   0.1886E+26
1.000000,  0.00,     1855.0,   0.2071E+26
1.000000,  0.00,     1860.0,   0.2288E+26
1.000000,  0.00,     1865.0,   0.2457E+26
1.000000,  0.00,     1870.0,   0.2628E+26
1.000000,  0.00,     1875.0,   0.2586E+26
1.000000,  0.00,     1880.0,   0.2683E+26
1.000000,  0.00,     1885.0,   0.2821E+26
1.000000,  0.00,     1890.0,   0.3070E+26
1.000000,  0.00,     1895.0,   0.3077E+26
1.000000,  0.00,     1900.0,   0.3112E+26
1.000000,  0.00,     1905.0,   0.2681E+26
1.000000,  0.00,     1910.0,   0.2902E+26
1.000000,  0.00,     1915.0,   0.3048E+26
1.000000,  0.00,     1920.0,   0.3262E+26
1.000000,  0.00,     1925.0,   0.3205E+26
1.000000,  0.00,     1930.0,   0.3087E+26
1.000000,  0.00,     1935.0,   0.3046E+26
1.000000,  0.00,     1940.0,   0.3403E+26
1.000000,  0.00,     1945.0,   0.4035E+26
1.000000,  0.00,     1950.0,   0.5379E+26
1.000000,  0.00,     1955.0,   0.8629E+26
1.000000,  0.00,     1960.0,   0.8422E+26
1.000000,  0.00,     1965.0,   0.5124E+26
1.000000,  0.00,     1970.0,   0.3410E+26
1.000000,  0.00,     1975.0,   0.3196E+26
1.000000,  0.00,     1980.0,   0.5306E+26
1.000000,  0.00,     1985.0,   0.1230E+27
1.000000,  0.00,     1990.0,   0.1181E+27
1.000000,  0.00,     1995.0,   0.9786E+26
1.000000,  0.00,     2000.0,   0.9713E+26
1.000000,  0.00,     2005.0,   0.3569E+26
1.000000,  0.00,     2010.0,   0.3462E+26
1.000000,  0.00,     2015.0,   0.4446E+26
1.000000,  0.00,     2020.0,   0.4592E+26
1.000000,  0.00,     2025.0,   0.4424E+26
1.000000,  0.00,     2030.0,   0.4257E+26
1.000000,  0.00,     2035.0,   0.5094E+26
1.000000,  0.00,     2040.0,   0.5557E+26
1.000000,  0.00,     2045.0,   0.5689E+26
1.000000,  0.00,     2050.0,   0.1152E+27
1.000000,  0.00,     2055.0,   0.1135E+27
1.000000,  0.00,     2060.0,   0.1404E+27
1.000000,  0.00,     2065.0,   0.1185E+27
1.000000,  0.00,     2070.0,   0.1283E+27
1.000000,  0.00,     2075.0,   0.1816E+27
1.000000,  0.00,     2080.0,   0.2349E+27
1.000000,  0.00,     2085.0,   0.2140E+27
1.000000,  0.00,     2090.0,   0.1896E+27
1.000000,  0.00,     2095.0,   0.1825E+27
1.000000,  0.00,     2100.0,   0.2869E+27
1.000000,  0.00,     2105.0,   0.3285E+27
1.000000,  0.00,     2110.0,   0.3348E+27
1.000000,  0.00,     2115.0,   0.3188E+27
1.000000,  0.00,     2120.0,   0.3523E+27
1.000000,  0.00,     2125.0,   0.3516E+27
1.000000,  0.00,     2130.0,   0.2462E+27
1.000000,  0.00,     2135.0,   0.3458E+27
1.000000,  0.00,     2140.0,   0.3817E+27
1.000000,  0.00,     2145.0,   0.4005E+27
1.000000,  0.00,     2150.0,   0.4241E+27
1.000000,  0.00,     2155.0,   0.3985E+27
1.000000,  0.00,     2160.0,   0.3865E+27
1.000000,  0.00,     2165.0,   0.2941E+27
1.000000,  0.00,     2170.0,   0.2375E+27
1.000000,  0.00,     2175.0,   0.3199E+27
1.000000,  0.00,     2180.0,   0.4480E+27
1.000000,  0.00,     2185.0,   0.4891E+27
1.000000,  0.00,     2190.0,   0.4559E+27
1.000000,  0.00,     2195.0,   0.4357E+27
1.000000,  0.00,     2200.0,   0.5010E+27
1.000000,  0.00,     2205.0,   0.4732E+27
1.000000,  0.00,     2210.0,   0.5176E+27
1.000000,  0.00,     2215.0,   0.4185E+27
1.000000,  0.00,     2220.0,   0.4769E+27
1.000000,  0.00,     2225.0,   0.5010E+27
1.000000,  0.00,     2230.0,   0.4492E+27
1.000000,  0.00,     2235.0,   0.5080E+27
1.000000,  0.00,     2240.0,   0.5634E+27
1.000000,  0.00,     2245.0,   0.5698E+27
1.000000,  0.00,     2250.0,   0.4849E+27
1.000000,  0.00,     2255.0,   0.5562E+27
1.000000,  0.00,     2260.0,   0.5507E+27
1.000000,  0.00,     2265.0,   0.4616E+27
1.000000,  0.00,     2270.0,   0.4345E+27
1.000000,  0.00,     2275.0,   0.4325E+27
1.000000,  0.00,     2280.0,   0.4595E+27
1.000000,  0.00,     2285.0,   0.4412E+27
1.000000,  0.00,     2290.0,   0.4889E+27
1.000000,  0.00,     2295.0,   0.5087E+27
1.000000,  0.00,     2300.0,   0.5355E+27
1.000000,  0.00,     2305.0,   0.5330E+27
1.000000,  0.00,     2310.0,   0.5553E+27
1.000000,  0.00,     2315.0,   0.5071E+27
1.000000,  0.00,     2320.0,   0.5534E+27
1.000000,  0.00,     2325.0,   0.6510E+27
1.000000,  0.00,     2330.0,   0.5956E+27
1.000000,  0.00,     2335.0,   0.5318E+27
1.000000,  0.00,     2340.0,   0.5498E+27
1.000000,  0.00,     2345.0,   0.5126E+27
1.000000,  0.00,     2350.0,   0.5073E+27
1.000000,  0.00,     2355.0,   0.5111E+27
1.000000,  0.00,     2360.0,   0.5381E+27
1.000000,  0.00,     2365.0,   0.5360E+27
1.000000,  0.00,     2370.0,   0.5693E+27
1.000000,  0.00,     2375.0,   0.5484E+27
1.000000,  0.00,     2380.0,   0.5249E+27
1.000000,  0.00,     2385.0,   0.4952E+27
1.000000,  0.00,     2390.0,   0.5202E+27
1.000000,  0.00,     2395.0,   0.5184E+27
1.000000,  0.00,     2400.0,   0.5082E+27
1.000000,  0.00,     2405.0,   0.5220E+27
1.000000,  0.00,     2410.0,   0.5415E+27
1.000000,  0.00,     2415.0,   0.5790E+27
1.000000,  0.00,     2420.0,   0.6808E+27
1.000000,  0.00,     2425.0,   0.7613E+27
1.000000,  0.00,     2430.0,   0.7928E+27
1.000000,  0.00,     2435.0,   0.8010E+27
1.000000,  0.00,     2440.0,   0.8116E+27
1.000000,  0.00,     2445.0,   0.7712E+27
