# iter, stel_vel, stel_disp, power_amp, power_slope, na_feii_amp, br_feii_amp, na_oiii5007_core_amp, na_oiii5007_core_fwhm, na_oiii5007_core_voff, na_Hb_core_amp, na_Hb_core_voff, na_oiii5007_outflow_amp, na_oiii5007_outflow_fwhm, na_oiii5007_outflow_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 22.419911619753883, -1.9999404841756343, 0.11932519928419945, 6.183695820746103, 64.73108698423022, 253.29585092980886, 6.945650972501993, 39.16975391126559, 91.55477995103142, 16.85802816840887, 883.9716815088123, -165.56980621516746, 14.315373441065411, 3481.1901952241806, 266.00221173302043
100, 99.9999045663777, 99.99234577027055, 22.024488825920223, -1.6561612767887042, 0.22976965427623497, 6.173454018492363, 64.73092503463177, 253.5772185563021, 6.949633884446666, 39.309441686010146, 91.5647951823924, 16.85136521010239, 884.0015692965102, -165.64361419599666, 14.379798351557428, 3481.189936523683, 266.0050099013862
200, 103.50024435973175, 95.78652438519964, 8.464753556992095, -0.4894969447808555, 1.4277291270342527, 6.466730908224262, 63.96547586001067, 255.62061341208602, 9.32338262224361, 45.58923165090172, 95.48756568748493, 16.69858913686729, 887.520875268685, -169.55135046600552, 15.527866900608714, 3483.2093198036196, 270.38024523124676
300, 116.1301740202212, 95.83747025794601, 4.266072330245629, 0.3514076439719894, 1.0142874355969589, 6.7535048071971895, 64.53412388057289, 246.26730514642304, 9.463136237071353, 48.80851750730859, 95.18904688018699, 17.01609026769568, 887.9610086059263, -163.96113916794997, 15.61332366708456, 3495.0797542714517, 274.3542123889854
400, 128.928045838073, 105.56249755151806, 3.213187667126532, 0.7688814931211405, 0.720392973970575, 6.857557464101457, 64.94011050806866, 247.79138278345047, 9.504208036881256, 49.80841460644895, 95.33937439320802, 16.39312779738556, 899.1484942918772, -168.669868525923, 15.607910961878515, 3510.4829329506338, 269.0123970783244
500, 139.4801224388609, 113.22387443804678, 2.8267916297417615, 0.9029103522820074, 0.5409493908300288, 6.893800199550596, 65.17290015749388, 251.2076949141667, 9.80643286883848, 50.04549808084096, 96.50079055875031, 15.811233089362586, 908.1190056587608, -169.8408953872174, 15.673876209985483, 3519.159568342138, 265.42708609838496
600, 144.3295782544126, 115.10773596710003, 2.785915785665666, 0.9831334940213681, 0.49625365229036805, 7.004467780153662, 65.31724912930683, 252.05616804369478, 9.966778520985606, 50.010292224917556, 97.1442455150297, 15.623755139751985, 915.3556767103042, -170.04897016478648, 15.69988864198346, 3523.468365078724, 260.50879071847055
700, 147.49325248252694, 117.52675441358497, 2.690510261379031, 0.9428576096109593, 0.48540360376193625, 7.033376690699556, 65.73126834386895, 251.39967038346225, 10.083185535659686, 50.17862161491093, 98.00441463123984, 15.476691856933263, 921.5342853953694, -175.8226630265575, 15.767393658310317, 3493.7451998692122, 258.23292717170773
800, 148.7191526321688, 116.18068069488568, 2.5727731381849015, 0.9524610520828922, 0.4791046676962837, 6.978491339300431, 65.79129425119564, 250.89090701829755, 9.607686316440518, 50.30071239321262, 97.98244565214216, 15.49985794992488, 924.864359071748, -177.4031193976551, 15.879406354362317, 3476.5557466249275, 254.56838793299028
900, 149.41004054704717, 118.48238221239151, 2.417259106540766, 0.8795982494821137, 0.4531776392241698, 6.93297105099688, 65.70256216707173, 251.53594147396615, 9.189451548206186, 50.284041655791036, 98.04314193815611, 15.275313799553507, 928.0090891576257, -179.04317097972532, 15.938501149728395, 3445.5812461661976, 250.83347758893782
1000, 151.11606325499272, 119.4379641250974, 2.424707463180328, 0.9497654117422503, 0.5235703349790763, 6.942131345477386, 65.71740639336656, 251.49682549297881, 9.297315286428702, 50.163986625617724, 98.01073998268006, 15.311549892268387, 926.0731871470041, -178.57019348091774, 16.032683820940008, 3426.677731347605, 249.80692419833542
1100, 149.5222937152294, 119.71886221482305, 2.47823688023793, 1.0257662054073613, 0.5020678755818302, 6.957804688531237, 65.7122622289275, 250.68514065503976, 9.442280669732883, 50.332394613237966, 97.9835591537889, 15.401650516303048, 924.5555819709032, -178.59830722484207, 16.047858596499367, 3414.7279408851373, 244.49572885803224
1200, 148.88270835908517, 120.50645719573748, 2.4146001907727523, 1.0155107147935003, 0.44100857863123455, 6.969451610168379, 65.64786030776273, 251.31580905634092, 9.420472145104242, 50.08087034008325, 97.73439457547155, 15.26025303633026, 921.0807743276192, -176.8458358918812, 16.04192529404811, 3405.9033156417145, 241.2434141778643
1300, 149.99076651369907, 119.66842343801069, 2.37088840989564, 1.0096799694176302, 0.3857301466479301, 6.968993620740717, 65.77337767259135, 251.53274339805165, 9.323013611974563, 49.957312203516246, 98.22213644082348, 15.276479838625985, 920.2931657572854, -176.05311482535734, 16.069766879788475, 3410.888311093143, 245.15826919018872
1400, 150.71461301084946, 119.6299137602428, 2.3609319445808254, 1.0676614361446028, 0.38987504861464994, 6.977807089499594, 65.7800294734866, 251.3059598810868, 8.800780827368172, 49.86773992121313, 98.18414591282004, 15.272493143854016, 924.9109444682615, -176.1465056469158, 16.14711723742608, 3404.4658712120918, 244.88424598643988
1500, 150.48201758082035, 119.52416327365415, 2.471698407046891, 0.9534119033566004, 0.4140011369918435, 7.004467493603909, 65.5888917770938, 250.87762115245818, 9.23463443888684, 49.99548870384704, 97.83968084468952, 15.307483339018773, 917.4461212606388, -172.88545696720925, 16.13931115201833, 3397.3716339985954, 245.0638044787724
