# iter, stel_vel, stel_disp, power_amp, power_slope, na_feii_amp, br_feii_amp, na_oiii5007_core_amp, na_oiii5007_core_fwhm, na_oiii5007_core_voff, na_Hb_core_amp, na_Hb_core_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 6.502470531520532, -0.8658216767006819, 0.0010000000000155384, 0.4535496102482214, 14.726265453846892, 296.6888857455823, -4.059326239665625, 7.798583745002904, -14.61412042357551, 2.70531460214952, 3485.7373571520843, 266.7642063344057
100, 100.00002360733428, 99.99997934822376, 6.502290081560451, -0.8659336500493392, 0.0037108581247271254, 0.4535215423048874, 14.726248292056455, 296.68920003454065, -4.0593116823830115, 7.798545617374423, -14.614136018447427, 2.7051956682616454, 3485.737454880392, 266.764197099962
200, 99.81707656070361, 100.30155650643681, 5.005429090814399, -1.538347748762467, 0.06657634732729072, 0.4773833094986418, 14.73391054081086, 296.7871743913512, -3.911170069498316, 8.13847590823417, -15.25863889503275, 2.650575815274504, 3485.7867442257266, 266.2942608664259
300, 100.30566844035104, 100.2371441047929, 3.9737582965295077, -1.8410647078241253, 0.0878426628301641, 0.5120733421645889, 14.783767878610897, 294.95881419386313, -3.990068721214281, 8.427129670259951, -12.613829055257696, 2.7129628451325734, 3486.5478418414027, 264.47609723201765
400, 109.39267336613979, 93.55800773013091, 4.017663548944388, -1.9186741713350686, 0.09992848046331029, 0.4781334612349015, 15.11809465912798, 281.54953471957015, -0.7086348203936028, 8.679878613691667, -2.7360925603552086, 2.693690863849124, 3498.603626938888, 258.8864044137636
500, 111.85482937129983, 90.32422804465587, 4.0255606601611476, -1.853390986533058, 0.08458650395765471, 0.4695677046178267, 15.222473480337587, 276.8897288680656, 1.4556206060078818, 8.675767564689266, 2.5537813365806894, 2.682699715615555, 3501.3523734660994, 250.81229806543334
600, 113.94954910474102, 92.08439440313705, 4.0405665114266025, -1.8139112617030697, 0.07475301605498565, 0.5207902537657476, 15.391672158906353, 274.60262110337305, 2.3228441854255655, 8.746060316044366, 5.70778149759937, 2.720379349723564, 3453.8558299041347, 221.14186269779367
700, 113.88721378776057, 91.33439679339378, 3.749811368908067, -1.7538639532224507, 0.07232671139169854, 0.5010546491213373, 15.347857627381543, 271.5112855250123, 2.589507437436535, 8.851076473695521, 5.949617216870188, 2.79838711344414, 3345.243527193583, 224.73889732092994
800, 113.67620167535944, 91.22624451900055, 3.8267689295077814, -1.790193664343299, 0.07292414930428859, 0.483941172819616, 15.410885357381675, 270.47803580000925, 2.8664579628173916, 8.69091909685439, 5.8677337356352, 2.8793105939078405, 3236.699064862205, 231.313358104462
900, 114.7512780498551, 91.49388171364558, 3.606446377149762, -1.7697335604559536, 0.07361050765435675, 0.5033843900175763, 15.451284601159362, 268.94579370934684, 3.6478042341254087, 8.682875194041026, 6.925048508200137, 2.9537791219788794, 3141.8084242954837, 226.81739953344982
