na_line,na_wavelength,na_relative_intensity
Fe II  74,6147.74,0.04
Fe II  74,6149.26,0.04
Fe II 200,6175.14,0.01
Fe II,6191.77,0.02
Fe II  74,6238.37,0.03
Fe II  74,6247.55,0.05
Fe II 200,6305.32,0.00
Fe II,6317.99,0.05
Fe II  40,6369.45,0.02
Fe II,6383.72,0.02
Fe II  74,6416.89,0.05
Fe II  40,6432.68,0.08
Fe II  74,6456.38,0.07
Fe II 199,6482.21,0.06
Fe II  40,6516.05,0.13
Fe II 210,6627.24,0.02
Fe II],6656.00,0.02
Fe II],6664.05,0.03
Fe II],6728.45,0.02
