# iter, gal_temp_amp, power_amp, power_slope, na_feii_amp, br_feii_amp, na_oiii5007_core_amp, na_oiii5007_core_fwhm, na_oiii5007_core_voff, na_Hb_core_amp, na_Hb_core_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 0.6274538578008078, 1.1298424868282881, -0.7386895047540996, 0.0010000000000000195, 0.18057450087301175, 6.559013249099822, 510.83894934849644, -18.140570177639187, 0.8531964777198969, -702.7645592107025, 0.5714265426483849, 10000.0, 7.1624150831201945
100, 0.6274015129066146, 1.1299892132371046, -0.7389071332041788, 0.0031410020797312307, 0.18057106452064858, 6.558970487490177, 510.83896782013, -18.14044256485428, 0.8531674059541878, -702.7645761651523, 0.5715843628637649, 9999.997878961482, 7.162399686860194
200, 0.565185602140513, 1.1755472546119154, -1.0403136352207676, 0.05271632384405364, 0.176050968931549, 6.577383052808514, 511.03097854748995, -17.865617337223593, 0.8718609967019132, -702.8819811731053, 0.5949592072235883, 9999.888771921947, 7.3421886016780205
300, 0.5392196511687584, 1.1979492234601585, -1.3472324106835913, 0.09026153960792924, 0.11727661583007776, 6.6225055034798705, 511.3870540503696, -17.04384580976106, 0.8498977381792783, -703.433250323058, 0.5690504396722625, 9999.670426412758, 7.771903331785343
400, 0.6082437255106166, 1.1337033048274407, -1.540720002561273, 0.07082106794544504, 0.09039076813020754, 6.640614285227101, 511.72846255578287, -15.05719372451205, 0.806508064352959, -704.971257789143, 0.554785957211542, 9999.314838553808, 8.21262549664618
500, 0.6330401877143046, 1.1099589788897986, -1.6268350176624609, 0.07653824336644793, 0.07835259423649357, 6.6199985550257106, 514.228382298358, -10.847105812134787, 0.7952290040275067, -706.7944668682002, 0.5619589720863392, 9998.28777776419, 10.128635157200854
600, 0.6555877293792991, 1.0811697132014293, -1.7563462120485047, 0.0690903794502887, 0.0773378675366706, 6.61799631856517, 516.4731664557676, -9.879191041579002, 0.7849709427391968, -707.950604366307, 0.5655488723390797, 9996.894561083367, 11.238273017441777
700, 0.6497979823272281, 1.087710303079618, -1.7463538775559828, 0.07159094844230234, 0.08198974945880386, 6.5494344906652735, 525.6238111735183, -10.274672755858713, 0.7616391504924449, -701.1974787486113, 0.563043682516098, 9994.136099488536, 7.177744761372532
800, 0.6184276636530591, 1.1236891658605324, -1.6397129798002597, 0.06356779727578718, 0.0810316034203193, 6.5429499407176435, 527.3742584786912, -10.347942284558968, 0.7835983017268491, -681.4766060232141, 0.5602067622485435, 9990.071931493094, 6.213337766094071
900, 0.6405880016590023, 1.1011270981672037, -1.7106554224320116, 0.07970714992488265, 0.09166980264714977, 6.578006824245307, 522.2923021902379, -8.581691572332762, 0.8230331532804103, -681.0027754584721, 0.5595796953331754, 9983.32670243108, 70.85486392001326
1000, 0.687335050043712, 1.047341549041184, -1.7842004894271468, 0.06955102958771597, 0.089715508747576, 6.587923705041169, 523.9643610611759, -9.584834019979407, 0.8404661653102066, -672.2380392749442, 0.5596075930189802, 9971.410336261692, 129.97990690895426
1100, 0.6615819863189165, 1.08526818884498, -1.7395412879110852, 0.08125097463900154, 0.09400555772288247, 6.590228350183215, 521.7692035349461, -10.123994614264545, 0.8438642694002769, -658.1221811987161, 0.5722511791917105, 9955.726847230371, 227.17690958367146
