angstrom,flux
3400.0,0.0
3400.1,0.0
3400.2,0.0
3400.2999999999997,0.0
3400.3999999999996,0.0
3400.4999999999995,0.0
3400.5999999999995,0.0
3400.6999999999994,0.0
3400.7999999999993,0.0
3400.899999999999,0.0
3400.999999999999,0.0
3401.099999999999,0.0
3401.199999999999,0.0
3401.299999999999,0.0
3401.3999999999987,0.0
3401.4999999999986,0.0
3401.5999999999985,0.0
3401.6999999999985,0.0
3401.7999999999984,0.0
3401.8999999999983,0.0
3401.999999999998,0.0
3402.099999999998,0.0
3402.199999999998,0.0
3402.299999999998,0.0
3402.399999999998,0.0
3402.4999999999977,0.0
3402.5999999999976,0.0
3402.6999999999975,0.0
3402.7999999999975,0.0
3402.8999999999974,0.0
3402.9999999999973,0.0
3403.099999999997,0.0
3403.199999999997,0.0
3403.299999999997,0.0
3403.399999999997,0.0
3403.499999999997,0.0
3403.5999999999967,0.0
3403.6999999999966,0.0
3403.7999999999965,0.0
3403.8999999999965,0.0
3403.9999999999964,0.0
3404.0999999999963,0.0
3404.199999999996,0.0
3404.299999999996,0.0
3404.399999999996,0.0
3404.499999999996,0.0
3404.599999999996,0.0
3404.6999999999957,0.0
3404.7999999999956,0.0
3404.8999999999955,0.0
3404.9999999999955,0.0
3405.0999999999954,0.0
3405.1999999999953,0.0
3405.299999999995,0.0
3405.399999999995,0.0
3405.499999999995,0.0
3405.599999999995,0.0
3405.699999999995,0.0
3405.7999999999947,0.0
3405.8999999999946,0.0
3405.9999999999945,0.0
3406.0999999999945,0.0
3406.1999999999944,0.0
3406.2999999999943,0.0
3406.399999999994,0.0
3406.499999999994,0.0
3406.599999999994,0.0
3406.699999999994,0.0
3406.799999999994,0.0
3406.8999999999937,0.0
3406.9999999999936,0.0
3407.0999999999935,0.0
3407.1999999999935,0.0
3407.2999999999934,0.0
3407.3999999999933,0.0
3407.499999999993,0.0
3407.599999999993,0.0
3407.699999999993,0.0
3407.799999999993,0.0
3407.899999999993,0.0
3407.9999999999927,0.0
3408.0999999999926,0.0
3408.1999999999925,0.0
3408.2999999999925,0.0
3408.3999999999924,0.0
3408.4999999999923,0.0
3408.599999999992,0.0
3408.699999999992,0.0
3408.799999999992,0.0
3408.899999999992,0.0
3408.999999999992,0.0
3409.0999999999917,0.0
