#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
0.400000,  0.00,     1150.0,   0.4446E+29
0.400000,  0.00,     1155.0,   0.4665E+29
0.400000,  0.00,     1160.0,   0.3408E+29
0.400000,  0.00,     1165.0,   0.2378E+28
0.400000,  0.00,     1170.0,   0.2227E+28
0.400000,  0.00,     1175.0,   0.7055E+28
0.400000,  0.00,     1180.0,   0.8041E+28
0.400000,  0.00,     1185.0,   0.6499E+28
0.400000,  0.00,     1190.0,   0.4325E+28
0.400000,  0.00,     1195.0,   0.3861E+28
0.400000,  0.00,     1200.0,   0.3413E+28
0.400000,  0.00,     1205.0,   0.6298E+28
0.400000,  0.00,     1210.0,   0.1671E+29
0.400000,  0.00,     1215.0,   0.2464E+29
0.400000,  0.00,     1220.0,   0.1894E+29
0.400000,  0.00,     1225.0,   0.6823E+28
0.400000,  0.00,     1230.0,   0.7068E+28
0.400000,  0.00,     1235.0,   0.7783E+28
0.400000,  0.00,     1240.0,   0.7897E+28
0.400000,  0.00,     1245.0,   0.7942E+28
0.400000,  0.00,     1250.0,   0.1737E+29
0.400000,  0.00,     1255.0,   0.2184E+29
0.400000,  0.00,     1260.0,   0.1993E+29
0.400000,  0.00,     1265.0,   0.3071E+29
0.400000,  0.00,     1270.0,   0.6275E+29
0.400000,  0.00,     1275.0,   0.7384E+29
0.400000,  0.00,     1280.0,   0.1006E+30
0.400000,  0.00,     1285.0,   0.1284E+30
0.400000,  0.00,     1290.0,   0.1301E+30
0.400000,  0.00,     1295.0,   0.1469E+30
0.400000,  0.00,     1300.0,   0.1357E+30
0.400000,  0.00,     1305.0,   0.1006E+30
0.400000,  0.00,     1310.0,   0.1105E+30
0.400000,  0.00,     1315.0,   0.1790E+30
0.400000,  0.00,     1320.0,   0.2206E+30
0.400000,  0.00,     1325.0,   0.2193E+30
0.400000,  0.00,     1330.0,   0.2055E+30
0.400000,  0.00,     1335.0,   0.2107E+30
0.400000,  0.00,     1340.0,   0.2668E+30
0.400000,  0.00,     1345.0,   0.2904E+30
0.400000,  0.00,     1350.0,   0.2601E+30
0.400000,  0.00,     1355.0,   0.2367E+30
0.400000,  0.00,     1360.0,   0.2461E+30
0.400000,  0.00,     1365.0,   0.2456E+30
0.400000,  0.00,     1370.0,   0.2444E+30
0.400000,  0.00,     1375.0,   0.2620E+30
0.400000,  0.00,     1380.0,   0.2617E+30
0.400000,  0.00,     1385.0,   0.2669E+30
0.400000,  0.00,     1390.0,   0.2743E+30
0.400000,  0.00,     1395.0,   0.2682E+30
0.400000,  0.00,     1400.0,   0.2716E+30
0.400000,  0.00,     1405.0,   0.2851E+30
0.400000,  0.00,     1410.0,   0.2797E+30
0.400000,  0.00,     1415.0,   0.2924E+30
0.400000,  0.00,     1420.0,   0.3128E+30
0.400000,  0.00,     1425.0,   0.3263E+30
0.400000,  0.00,     1430.0,   0.3140E+30
0.400000,  0.00,     1435.0,   0.2928E+30
0.400000,  0.00,     1440.0,   0.3239E+30
0.400000,  0.00,     1445.0,   0.3529E+30
0.400000,  0.00,     1450.0,   0.3771E+30
0.400000,  0.00,     1455.0,   0.3839E+30
0.400000,  0.00,     1460.0,   0.3755E+30
0.400000,  0.00,     1465.0,   0.3559E+30
0.400000,  0.00,     1470.0,   0.3418E+30
0.400000,  0.00,     1475.0,   0.3430E+30
0.400000,  0.00,     1480.0,   0.3535E+30
0.400000,  0.00,     1485.0,   0.3771E+30
0.400000,  0.00,     1490.0,   0.4107E+30
0.400000,  0.00,     1495.0,   0.4195E+30
0.400000,  0.00,     1500.0,   0.4419E+30
0.400000,  0.00,     1505.0,   0.4143E+30
0.400000,  0.00,     1510.0,   0.3638E+30
0.400000,  0.00,     1515.0,   0.3694E+30
0.400000,  0.00,     1520.0,   0.4051E+30
0.400000,  0.00,     1525.0,   0.3813E+30
0.400000,  0.00,     1530.0,   0.3591E+30
0.400000,  0.00,     1535.0,   0.3667E+30
0.400000,  0.00,     1540.0,   0.4112E+30
0.400000,  0.00,     1545.0,   0.4340E+30
0.400000,  0.00,     1550.0,   0.4300E+30
0.400000,  0.00,     1555.0,   0.4149E+30
0.400000,  0.00,     1560.0,   0.4051E+30
0.400000,  0.00,     1565.0,   0.4249E+30
0.400000,  0.00,     1570.0,   0.4245E+30
0.400000,  0.00,     1575.0,   0.4281E+30
0.400000,  0.00,     1580.0,   0.4788E+30
0.400000,  0.00,     1585.0,   0.4843E+30
0.400000,  0.00,     1590.0,   0.4684E+30
0.400000,  0.00,     1595.0,   0.4571E+30
0.400000,  0.00,     1600.0,   0.4728E+30
0.400000,  0.00,     1605.0,   0.4648E+30
0.400000,  0.00,     1610.0,   0.4567E+30
0.400000,  0.00,     1615.0,   0.4606E+30
0.400000,  0.00,     1620.0,   0.4605E+30
0.400000,  0.00,     1625.0,   0.4639E+30
0.400000,  0.00,     1630.0,   0.4573E+30
0.400000,  0.00,     1635.0,   0.4518E+30
0.400000,  0.00,     1640.0,   0.4519E+30
0.400000,  0.00,     1645.0,   0.4690E+30
0.400000,  0.00,     1650.0,   0.4539E+30
0.400000,  0.00,     1655.0,   0.4033E+30
0.400000,  0.00,     1660.0,   0.4068E+30
0.400000,  0.00,     1665.0,   0.4488E+30
0.400000,  0.00,     1670.0,   0.4139E+30
0.400000,  0.00,     1675.0,   0.4203E+30
0.400000,  0.00,     1680.0,   0.4639E+30
0.400000,  0.00,     1685.0,   0.4731E+30
0.400000,  0.00,     1690.0,   0.4744E+30
0.400000,  0.00,     1695.0,   0.4749E+30
0.400000,  0.00,     1700.0,   0.4743E+30
0.400000,  0.00,     1705.0,   0.4785E+30
0.400000,  0.00,     1710.0,   0.4857E+30
0.400000,  0.00,     1715.0,   0.4876E+30
0.400000,  0.00,     1720.0,   0.4752E+30
0.400000,  0.00,     1725.0,   0.4669E+30
0.400000,  0.00,     1730.0,   0.4922E+30
0.400000,  0.00,     1735.0,   0.4999E+30
0.400000,  0.00,     1740.0,   0.5093E+30
0.400000,  0.00,     1745.0,   0.5218E+30
0.400000,  0.00,     1750.0,   0.5355E+30
0.400000,  0.00,     1755.0,   0.5615E+30
0.400000,  0.00,     1760.0,   0.5357E+30
0.400000,  0.00,     1765.0,   0.5006E+30
0.400000,  0.00,     1770.0,   0.5171E+30
0.400000,  0.00,     1775.0,   0.5463E+30
0.400000,  0.00,     1780.0,   0.5562E+30
0.400000,  0.00,     1785.0,   0.5091E+30
0.400000,  0.00,     1790.0,   0.4571E+30
0.400000,  0.00,     1795.0,   0.5637E+30
0.400000,  0.00,     1800.0,   0.6019E+30
0.400000,  0.00,     1805.0,   0.5758E+30
0.400000,  0.00,     1810.0,   0.5670E+30
0.400000,  0.00,     1815.0,   0.5765E+30
0.400000,  0.00,     1820.0,   0.5813E+30
0.400000,  0.00,     1825.0,   0.5762E+30
0.400000,  0.00,     1830.0,   0.5539E+30
0.400000,  0.00,     1835.0,   0.5392E+30
0.400000,  0.00,     1840.0,   0.5145E+30
0.400000,  0.00,     1845.0,   0.5009E+30
0.400000,  0.00,     1850.0,   0.5117E+30
0.400000,  0.00,     1855.0,   0.5135E+30
0.400000,  0.00,     1860.0,   0.5172E+30
0.400000,  0.00,     1865.0,   0.5248E+30
0.400000,  0.00,     1870.0,   0.5415E+30
0.400000,  0.00,     1875.0,   0.5461E+30
0.400000,  0.00,     1880.0,   0.5496E+30
0.400000,  0.00,     1885.0,   0.5535E+30
0.400000,  0.00,     1890.0,   0.5416E+30
0.400000,  0.00,     1895.0,   0.5234E+30
0.400000,  0.00,     1900.0,   0.5054E+30
0.400000,  0.00,     1905.0,   0.5085E+30
0.400000,  0.00,     1910.0,   0.5115E+30
0.400000,  0.00,     1915.0,   0.5194E+30
0.400000,  0.00,     1920.0,   0.5228E+30
0.400000,  0.00,     1925.0,   0.5134E+30
0.400000,  0.00,     1930.0,   0.5020E+30
0.400000,  0.00,     1935.0,   0.5073E+30
0.400000,  0.00,     1940.0,   0.5331E+30
0.400000,  0.00,     1945.0,   0.5491E+30
0.400000,  0.00,     1950.0,   0.5476E+30
0.400000,  0.00,     1955.0,   0.5426E+30
0.400000,  0.00,     1960.0,   0.5378E+30
0.400000,  0.00,     1965.0,   0.5291E+30
0.400000,  0.00,     1970.0,   0.5396E+30
0.400000,  0.00,     1975.0,   0.5660E+30
0.400000,  0.00,     1980.0,   0.5481E+30
0.400000,  0.00,     1985.0,   0.5407E+30
0.400000,  0.00,     1990.0,   0.5121E+30
0.400000,  0.00,     1995.0,   0.4832E+30
0.400000,  0.00,     2000.0,   0.5054E+30
0.400000,  0.00,     2005.0,   0.5077E+30
0.400000,  0.00,     2010.0,   0.4914E+30
0.400000,  0.00,     2015.0,   0.4985E+30
0.400000,  0.00,     2020.0,   0.4885E+30
0.400000,  0.00,     2025.0,   0.4842E+30
0.400000,  0.00,     2030.0,   0.4997E+30
0.400000,  0.00,     2035.0,   0.5004E+30
0.400000,  0.00,     2040.0,   0.4875E+30
0.400000,  0.00,     2045.0,   0.5007E+30
0.400000,  0.00,     2050.0,   0.5122E+30
0.400000,  0.00,     2055.0,   0.5145E+30
0.400000,  0.00,     2060.0,   0.4827E+30
0.400000,  0.00,     2065.0,   0.4802E+30
0.400000,  0.00,     2070.0,   0.4953E+30
0.400000,  0.00,     2075.0,   0.5178E+30
0.400000,  0.00,     2080.0,   0.5451E+30
0.400000,  0.00,     2085.0,   0.5410E+30
0.400000,  0.00,     2090.0,   0.5394E+30
0.400000,  0.00,     2095.0,   0.5112E+30
0.400000,  0.00,     2100.0,   0.4922E+30
0.400000,  0.00,     2105.0,   0.4925E+30
0.400000,  0.00,     2110.0,   0.4970E+30
0.400000,  0.00,     2115.0,   0.4988E+30
0.400000,  0.00,     2120.0,   0.4923E+30
0.400000,  0.00,     2125.0,   0.5184E+30
0.400000,  0.00,     2130.0,   0.5102E+30
0.400000,  0.00,     2135.0,   0.4470E+30
0.400000,  0.00,     2140.0,   0.4159E+30
0.400000,  0.00,     2145.0,   0.4388E+30
0.400000,  0.00,     2150.0,   0.4664E+30
0.400000,  0.00,     2155.0,   0.4803E+30
0.400000,  0.00,     2160.0,   0.4841E+30
0.400000,  0.00,     2165.0,   0.4460E+30
0.400000,  0.00,     2170.0,   0.4332E+30
0.400000,  0.00,     2175.0,   0.4083E+30
0.400000,  0.00,     2180.0,   0.4103E+30
0.400000,  0.00,     2185.0,   0.4355E+30
0.400000,  0.00,     2190.0,   0.4625E+30
0.400000,  0.00,     2195.0,   0.4821E+30
0.400000,  0.00,     2200.0,   0.4861E+30
0.400000,  0.00,     2205.0,   0.4618E+30
0.400000,  0.00,     2210.0,   0.4283E+30
0.400000,  0.00,     2215.0,   0.3972E+30
0.400000,  0.00,     2220.0,   0.3909E+30
0.400000,  0.00,     2225.0,   0.4053E+30
0.400000,  0.00,     2230.0,   0.4064E+30
0.400000,  0.00,     2235.0,   0.4047E+30
0.400000,  0.00,     2240.0,   0.4225E+30
0.400000,  0.00,     2245.0,   0.3969E+30
0.400000,  0.00,     2250.0,   0.4000E+30
0.400000,  0.00,     2255.0,   0.4012E+30
0.400000,  0.00,     2260.0,   0.3936E+30
0.400000,  0.00,     2265.0,   0.3962E+30
0.400000,  0.00,     2270.0,   0.4029E+30
0.400000,  0.00,     2275.0,   0.4029E+30
0.400000,  0.00,     2280.0,   0.4135E+30
0.400000,  0.00,     2285.0,   0.4150E+30
0.400000,  0.00,     2290.0,   0.4313E+30
0.400000,  0.00,     2295.0,   0.4347E+30
0.400000,  0.00,     2300.0,   0.4179E+30
0.400000,  0.00,     2305.0,   0.4061E+30
0.400000,  0.00,     2310.0,   0.4187E+30
0.400000,  0.00,     2315.0,   0.4147E+30
0.400000,  0.00,     2320.0,   0.3841E+30
0.400000,  0.00,     2325.0,   0.3881E+30
0.400000,  0.00,     2330.0,   0.4011E+30
0.400000,  0.00,     2335.0,   0.3853E+30
0.400000,  0.00,     2340.0,   0.3675E+30
0.400000,  0.00,     2345.0,   0.3565E+30
0.400000,  0.00,     2350.0,   0.3467E+30
0.400000,  0.00,     2355.0,   0.3545E+30
0.400000,  0.00,     2360.0,   0.3645E+30
0.400000,  0.00,     2365.0,   0.3499E+30
0.400000,  0.00,     2370.0,   0.3551E+30
0.400000,  0.00,     2375.0,   0.3663E+30
0.400000,  0.00,     2380.0,   0.3718E+30
0.400000,  0.00,     2385.0,   0.3367E+30
0.400000,  0.00,     2390.0,   0.3087E+30
0.400000,  0.00,     2395.0,   0.3241E+30
0.400000,  0.00,     2400.0,   0.3407E+30
0.400000,  0.00,     2405.0,   0.3285E+30
0.400000,  0.00,     2410.0,   0.3058E+30
0.400000,  0.00,     2415.0,   0.3144E+30
0.400000,  0.00,     2420.0,   0.3447E+30
0.400000,  0.00,     2425.0,   0.3860E+30
0.400000,  0.00,     2430.0,   0.4010E+30
0.400000,  0.00,     2435.0,   0.3797E+30
0.400000,  0.00,     2440.0,   0.3729E+30
0.400000,  0.00,     2445.0,   0.3915E+30
0.400000,  0.00,     2450.0,   0.3920E+30
0.400000,  0.00,     2455.0,   0.3973E+30
0.400000,  0.00,     2460.0,   0.4056E+30
0.400000,  0.00,     2465.0,   0.3971E+30
0.400000,  0.00,     2470.0,   0.3723E+30
0.400000,  0.00,     2475.0,   0.3665E+30
0.400000,  0.00,     2480.0,   0.3752E+30
0.400000,  0.00,     2485.0,   0.3681E+30
0.400000,  0.00,     2490.0,   0.3577E+30
0.400000,  0.00,     2495.0,   0.3514E+30
0.400000,  0.00,     2500.0,   0.4006E+30
0.400000,  0.00,     2505.0,   0.4022E+30
0.400000,  0.00,     2510.0,   0.3873E+30
0.400000,  0.00,     2515.0,   0.3884E+30
0.400000,  0.00,     2520.0,   0.3701E+30
0.400000,  0.00,     2525.0,   0.3485E+30
0.400000,  0.00,     2530.0,   0.3365E+30
0.400000,  0.00,     2535.0,   0.3528E+30
0.400000,  0.00,     2540.0,   0.3467E+30
0.400000,  0.00,     2545.0,   0.3414E+30
0.400000,  0.00,     2550.0,   0.3541E+30
0.400000,  0.00,     2555.0,   0.3682E+30
0.400000,  0.00,     2560.0,   0.3831E+30
0.400000,  0.00,     2565.0,   0.3920E+30
0.400000,  0.00,     2570.0,   0.4198E+30
0.400000,  0.00,     2575.0,   0.4151E+30
0.400000,  0.00,     2580.0,   0.3384E+30
0.400000,  0.00,     2585.0,   0.3302E+30
0.400000,  0.00,     2590.0,   0.3856E+30
0.400000,  0.00,     2595.0,   0.4087E+30
0.400000,  0.00,     2600.0,   0.3936E+30
0.400000,  0.00,     2605.0,   0.3859E+30
0.400000,  0.00,     2610.0,   0.3869E+30
0.400000,  0.00,     2615.0,   0.3771E+30
0.400000,  0.00,     2620.0,   0.4004E+30
0.400000,  0.00,     2625.0,   0.4076E+30
0.400000,  0.00,     2630.0,   0.3953E+30
0.400000,  0.00,     2635.0,   0.4137E+30
0.400000,  0.00,     2640.0,   0.4467E+30
0.400000,  0.00,     2645.0,   0.4801E+30
0.400000,  0.00,     2650.0,   0.4982E+30
0.400000,  0.00,     2655.0,   0.4942E+30
0.400000,  0.00,     2660.0,   0.4738E+30
0.400000,  0.00,     2665.0,   0.4440E+30
0.400000,  0.00,     2670.0,   0.4290E+30
0.400000,  0.00,     2675.0,   0.4368E+30
0.400000,  0.00,     2680.0,   0.4542E+30
0.400000,  0.00,     2685.0,   0.4535E+30
0.400000,  0.00,     2690.0,   0.4412E+30
0.400000,  0.00,     2695.0,   0.4205E+30
0.400000,  0.00,     2700.0,   0.4237E+30
0.400000,  0.00,     2705.0,   0.4430E+30
0.400000,  0.00,     2710.0,   0.4273E+30
0.400000,  0.00,     2715.0,   0.4180E+30
0.400000,  0.00,     2720.0,   0.4192E+30
0.400000,  0.00,     2725.0,   0.4205E+30
0.400000,  0.00,     2730.0,   0.4352E+30
0.400000,  0.00,     2735.0,   0.4471E+30
0.400000,  0.00,     2740.0,   0.4306E+30
0.400000,  0.00,     2745.0,   0.3992E+30
0.400000,  0.00,     2750.0,   0.3800E+30
0.400000,  0.00,     2755.0,   0.3723E+30
0.400000,  0.00,     2760.0,   0.3881E+30
0.400000,  0.00,     2765.0,   0.4102E+30
0.400000,  0.00,     2770.0,   0.4208E+30
0.400000,  0.00,     2775.0,   0.4293E+30
0.400000,  0.00,     2780.0,   0.4344E+30
0.400000,  0.00,     2785.0,   0.4148E+30
0.400000,  0.00,     2790.0,   0.4096E+30
0.400000,  0.00,     2795.0,   0.3622E+30
0.400000,  0.00,     2800.0,   0.2984E+30
0.400000,  0.00,     2805.0,   0.3140E+30
0.400000,  0.00,     2810.0,   0.3784E+30
0.400000,  0.00,     2815.0,   0.4416E+30
0.400000,  0.00,     2820.0,   0.4696E+30
0.400000,  0.00,     2825.0,   0.4686E+30
0.400000,  0.00,     2830.0,   0.4564E+30
0.400000,  0.00,     2835.0,   0.4535E+30
0.400000,  0.00,     2840.0,   0.4590E+30
0.400000,  0.00,     2845.0,   0.4460E+30
0.400000,  0.00,     2850.0,   0.4345E+30
0.400000,  0.00,     2855.0,   0.4248E+30
0.400000,  0.00,     2860.0,   0.4316E+30
0.400000,  0.00,     2865.0,   0.4451E+30
0.400000,  0.00,     2870.0,   0.4454E+30
0.400000,  0.00,     2875.0,   0.4470E+30
0.400000,  0.00,     2880.0,   0.4488E+30
0.400000,  0.00,     2885.0,   0.4572E+30
0.400000,  0.00,     2890.0,   0.4575E+30
0.400000,  0.00,     2895.0,   0.4561E+30
0.400000,  0.00,     2900.0,   0.4681E+30
0.400000,  0.00,     2905.0,   0.4870E+30
0.400000,  0.00,     2910.0,   0.5086E+30
0.400000,  0.00,     2915.0,   0.5129E+30
0.400000,  0.00,     2920.0,   0.5126E+30
0.400000,  0.00,     2925.0,   0.4889E+30
0.400000,  0.00,     2930.0,   0.4837E+30
0.400000,  0.00,     2935.0,   0.4895E+30
0.400000,  0.00,     2940.0,   0.4913E+30
0.400000,  0.00,     2945.0,   0.5049E+30
0.400000,  0.00,     2950.0,   0.4895E+30
0.400000,  0.00,     2955.0,   0.5045E+30
0.400000,  0.00,     2960.0,   0.5173E+30
