#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
3.000000,  0.00,     1760.0,   0.8377E+25
3.000000,  0.00,     1765.0,   0.8415E+25
3.000000,  0.00,     1770.0,   0.8829E+25
3.000000,  0.00,     1775.0,   0.9602E+25
3.000000,  0.00,     1780.0,   0.9269E+25
3.000000,  0.00,     1785.0,   0.8550E+25
3.000000,  0.00,     1790.0,   0.6770E+25
3.000000,  0.00,     1795.0,   0.8548E+25
3.000000,  0.00,     1800.0,   0.1072E+26
3.000000,  0.00,     1805.0,   0.1530E+26
3.000000,  0.00,     1810.0,   0.1921E+26
3.000000,  0.00,     1815.0,   0.2401E+26
3.000000,  0.00,     1820.0,   0.2353E+26
3.000000,  0.00,     1825.0,   0.1509E+26
3.000000,  0.00,     1830.0,   0.1347E+26
3.000000,  0.00,     1835.0,   0.1365E+26
3.000000,  0.00,     1840.0,   0.1346E+26
3.000000,  0.00,     1845.0,   0.1244E+26
3.000000,  0.00,     1850.0,   0.1283E+26
3.000000,  0.00,     1855.0,   0.1406E+26
3.000000,  0.00,     1860.0,   0.1508E+26
3.000000,  0.00,     1865.0,   0.1632E+26
3.000000,  0.00,     1870.0,   0.1769E+26
3.000000,  0.00,     1875.0,   0.1671E+26
3.000000,  0.00,     1880.0,   0.1732E+26
3.000000,  0.00,     1885.0,   0.1801E+26
3.000000,  0.00,     1890.0,   0.2013E+26
3.000000,  0.00,     1895.0,   0.2026E+26
3.000000,  0.00,     1900.0,   0.1963E+26
3.000000,  0.00,     1905.0,   0.1418E+26
3.000000,  0.00,     1910.0,   0.1492E+26
3.000000,  0.00,     1915.0,   0.1564E+26
3.000000,  0.00,     1920.0,   0.1650E+26
3.000000,  0.00,     1925.0,   0.1613E+26
3.000000,  0.00,     1930.0,   0.1533E+26
3.000000,  0.00,     1935.0,   0.1521E+26
3.000000,  0.00,     1940.0,   0.1730E+26
3.000000,  0.00,     1945.0,   0.1976E+26
3.000000,  0.00,     1950.0,   0.3264E+26
3.000000,  0.00,     1955.0,   0.5880E+26
3.000000,  0.00,     1960.0,   0.4885E+26
3.000000,  0.00,     1965.0,   0.3481E+26
3.000000,  0.00,     1970.0,   0.3406E+26
3.000000,  0.00,     1975.0,   0.3244E+26
3.000000,  0.00,     1980.0,   0.4033E+26
3.000000,  0.00,     1985.0,   0.6215E+26
3.000000,  0.00,     1990.0,   0.5000E+26
3.000000,  0.00,     1995.0,   0.6045E+26
3.000000,  0.00,     2000.0,   0.6504E+26
3.000000,  0.00,     2005.0,   0.2947E+26
3.000000,  0.00,     2010.0,   0.2580E+26
3.000000,  0.00,     2015.0,   0.3056E+26
3.000000,  0.00,     2020.0,   0.3687E+26
3.000000,  0.00,     2025.0,   0.3183E+26
3.000000,  0.00,     2030.0,   0.2798E+26
3.000000,  0.00,     2035.0,   0.3698E+26
3.000000,  0.00,     2040.0,   0.4149E+26
3.000000,  0.00,     2045.0,   0.3466E+26
3.000000,  0.00,     2050.0,   0.7771E+26
3.000000,  0.00,     2055.0,   0.5706E+26
3.000000,  0.00,     2060.0,   0.6900E+26
3.000000,  0.00,     2065.0,   0.6396E+26
3.000000,  0.00,     2070.0,   0.7513E+26
3.000000,  0.00,     2075.0,   0.9591E+26
3.000000,  0.00,     2080.0,   0.1122E+27
3.000000,  0.00,     2085.0,   0.1055E+27
3.000000,  0.00,     2090.0,   0.8724E+26
3.000000,  0.00,     2095.0,   0.9190E+26
3.000000,  0.00,     2100.0,   0.1485E+27
3.000000,  0.00,     2105.0,   0.1458E+27
3.000000,  0.00,     2110.0,   0.1411E+27
3.000000,  0.00,     2115.0,   0.1487E+27
3.000000,  0.00,     2120.0,   0.1691E+27
3.000000,  0.00,     2125.0,   0.1608E+27
3.000000,  0.00,     2130.0,   0.1275E+27
3.000000,  0.00,     2135.0,   0.1676E+27
3.000000,  0.00,     2140.0,   0.1873E+27
3.000000,  0.00,     2145.0,   0.1935E+27
3.000000,  0.00,     2150.0,   0.2071E+27
3.000000,  0.00,     2155.0,   0.2003E+27
3.000000,  0.00,     2160.0,   0.1917E+27
3.000000,  0.00,     2165.0,   0.1628E+27
3.000000,  0.00,     2170.0,   0.1370E+27
3.000000,  0.00,     2175.0,   0.1709E+27
3.000000,  0.00,     2180.0,   0.2243E+27
3.000000,  0.00,     2185.0,   0.2646E+27
3.000000,  0.00,     2190.0,   0.2712E+27
3.000000,  0.00,     2195.0,   0.2694E+27
3.000000,  0.00,     2200.0,   0.2925E+27
3.000000,  0.00,     2205.0,   0.2672E+27
3.000000,  0.00,     2210.0,   0.2749E+27
3.000000,  0.00,     2215.0,   0.2482E+27
3.000000,  0.00,     2220.0,   0.2821E+27
3.000000,  0.00,     2225.0,   0.2985E+27
3.000000,  0.00,     2230.0,   0.2754E+27
3.000000,  0.00,     2235.0,   0.3069E+27
3.000000,  0.00,     2240.0,   0.3339E+27
3.000000,  0.00,     2245.0,   0.3477E+27
3.000000,  0.00,     2250.0,   0.3209E+27
3.000000,  0.00,     2255.0,   0.3221E+27
3.000000,  0.00,     2260.0,   0.3108E+27
3.000000,  0.00,     2265.0,   0.2777E+27
3.000000,  0.00,     2270.0,   0.2728E+27
3.000000,  0.00,     2275.0,   0.2661E+27
3.000000,  0.00,     2280.0,   0.2956E+27
3.000000,  0.00,     2285.0,   0.2933E+27
3.000000,  0.00,     2290.0,   0.3012E+27
3.000000,  0.00,     2295.0,   0.3159E+27
3.000000,  0.00,     2300.0,   0.3413E+27
3.000000,  0.00,     2305.0,   0.3538E+27
3.000000,  0.00,     2310.0,   0.3631E+27
3.000000,  0.00,     2315.0,   0.3400E+27
3.000000,  0.00,     2320.0,   0.3519E+27
3.000000,  0.00,     2325.0,   0.4058E+27
3.000000,  0.00,     2330.0,   0.3887E+27
3.000000,  0.00,     2335.0,   0.3540E+27
3.000000,  0.00,     2340.0,   0.3585E+27
3.000000,  0.00,     2345.0,   0.3402E+27
3.000000,  0.00,     2350.0,   0.3376E+27
3.000000,  0.00,     2355.0,   0.3357E+27
3.000000,  0.00,     2360.0,   0.3531E+27
3.000000,  0.00,     2365.0,   0.3634E+27
3.000000,  0.00,     2370.0,   0.3866E+27
3.000000,  0.00,     2375.0,   0.3799E+27
3.000000,  0.00,     2380.0,   0.3538E+27
3.000000,  0.00,     2385.0,   0.3346E+27
3.000000,  0.00,     2390.0,   0.3456E+27
3.000000,  0.00,     2395.0,   0.3471E+27
3.000000,  0.00,     2400.0,   0.3393E+27
3.000000,  0.00,     2405.0,   0.3553E+27
3.000000,  0.00,     2410.0,   0.3638E+27
3.000000,  0.00,     2415.0,   0.3872E+27
3.000000,  0.00,     2420.0,   0.4460E+27
3.000000,  0.00,     2425.0,   0.4912E+27
3.000000,  0.00,     2430.0,   0.4942E+27
3.000000,  0.00,     2435.0,   0.4986E+27
3.000000,  0.00,     2440.0,   0.5103E+27
3.000000,  0.00,     2445.0,   0.4994E+27
3.000000,  0.00,     2450.0,   0.4644E+27
3.000000,  0.00,     2455.0,   0.4522E+27
3.000000,  0.00,     2460.0,   0.4523E+27
3.000000,  0.00,     2465.0,   0.4421E+27
3.000000,  0.00,     2470.0,   0.4384E+27
3.000000,  0.00,     2475.0,   0.4329E+27
3.000000,  0.00,     2480.0,   0.4180E+27
3.000000,  0.00,     2485.0,   0.3827E+27
3.000000,  0.00,     2490.0,   0.3718E+27
3.000000,  0.00,     2495.0,   0.4135E+27
3.000000,  0.00,     2500.0,   0.4737E+27
3.000000,  0.00,     2505.0,   0.4749E+27
3.000000,  0.00,     2510.0,   0.4620E+27
3.000000,  0.00,     2515.0,   0.4470E+27
3.000000,  0.00,     2520.0,   0.4421E+27
3.000000,  0.00,     2525.0,   0.4506E+27
3.000000,  0.00,     2530.0,   0.4971E+27
3.000000,  0.00,     2535.0,   0.5192E+27
3.000000,  0.00,     2540.0,   0.5372E+27
3.000000,  0.00,     2545.0,   0.5667E+27
3.000000,  0.00,     2550.0,   0.6020E+27
3.000000,  0.00,     2555.0,   0.6269E+27
3.000000,  0.00,     2560.0,   0.6696E+27
3.000000,  0.00,     2565.0,   0.7370E+27
3.000000,  0.00,     2570.0,   0.7699E+27
3.000000,  0.00,     2575.0,   0.7693E+27
3.000000,  0.00,     2580.0,   0.8158E+27
3.000000,  0.00,     2585.0,   0.8644E+27
3.000000,  0.00,     2590.0,   0.9030E+27
3.000000,  0.00,     2595.0,   0.9004E+27
3.000000,  0.00,     2600.0,   0.9207E+27
3.000000,  0.00,     2605.0,   0.9622E+27
3.000000,  0.00,     2610.0,   0.1005E+28
3.000000,  0.00,     2615.0,   0.1079E+28
3.000000,  0.00,     2620.0,   0.1164E+28
3.000000,  0.00,     2625.0,   0.1230E+28
3.000000,  0.00,     2630.0,   0.1321E+28
3.000000,  0.00,     2635.0,   0.1534E+28
3.000000,  0.00,     2640.0,   0.1765E+28
3.000000,  0.00,     2645.0,   0.1842E+28
3.000000,  0.00,     2650.0,   0.1858E+28
3.000000,  0.00,     2655.0,   0.1960E+28
3.000000,  0.00,     2660.0,   0.2011E+28
3.000000,  0.00,     2665.0,   0.1987E+28
3.000000,  0.00,     2670.0,   0.2016E+28
3.000000,  0.00,     2675.0,   0.2029E+28
3.000000,  0.00,     2680.0,   0.2035E+28
3.000000,  0.00,     2685.0,   0.2023E+28
3.000000,  0.00,     2690.0,   0.1996E+28
3.000000,  0.00,     2695.0,   0.1986E+28
3.000000,  0.00,     2700.0,   0.2057E+28
3.000000,  0.00,     2705.0,   0.2056E+28
3.000000,  0.00,     2710.0,   0.2001E+28
3.000000,  0.00,     2715.0,   0.1925E+28
3.000000,  0.00,     2720.0,   0.1782E+28
3.000000,  0.00,     2725.0,   0.1782E+28
3.000000,  0.00,     2730.0,   0.1837E+28
3.000000,  0.00,     2735.0,   0.1759E+28
3.000000,  0.00,     2740.0,   0.1601E+28
3.000000,  0.00,     2745.0,   0.1552E+28
3.000000,  0.00,     2750.0,   0.1579E+28
3.000000,  0.00,     2755.0,   0.1642E+28
3.000000,  0.00,     2760.0,   0.1733E+28
3.000000,  0.00,     2765.0,   0.1802E+28
3.000000,  0.00,     2770.0,   0.1825E+28
3.000000,  0.00,     2775.0,   0.1777E+28
3.000000,  0.00,     2780.0,   0.1662E+28
3.000000,  0.00,     2785.0,   0.1564E+28
3.000000,  0.00,     2790.0,   0.1470E+28
3.000000,  0.00,     2795.0,   0.1412E+28
3.000000,  0.00,     2800.0,   0.1407E+28
3.000000,  0.00,     2805.0,   0.1441E+28
3.000000,  0.00,     2810.0,   0.1546E+28
3.000000,  0.00,     2815.0,   0.1760E+28
3.000000,  0.00,     2820.0,   0.1881E+28
3.000000,  0.00,     2825.0,   0.1953E+28
3.000000,  0.00,     2830.0,   0.2045E+28
3.000000,  0.00,     2835.0,   0.2094E+28
3.000000,  0.00,     2840.0,   0.2092E+28
3.000000,  0.00,     2845.0,   0.2046E+28
3.000000,  0.00,     2850.0,   0.1963E+28
3.000000,  0.00,     2855.0,   0.2106E+28
3.000000,  0.00,     2860.0,   0.2523E+28
3.000000,  0.00,     2865.0,   0.2855E+28
3.000000,  0.00,     2870.0,   0.3058E+28
3.000000,  0.00,     2875.0,   0.3222E+28
3.000000,  0.00,     2880.0,   0.3308E+28
3.000000,  0.00,     2885.0,   0.3594E+28
3.000000,  0.00,     2890.0,   0.3944E+28
3.000000,  0.00,     2895.0,   0.4260E+28
3.000000,  0.00,     2900.0,   0.4622E+28
3.000000,  0.00,     2905.0,   0.4878E+28
3.000000,  0.00,     2910.0,   0.5024E+28
3.000000,  0.00,     2915.0,   0.5088E+28
3.000000,  0.00,     2920.0,   0.5044E+28
3.000000,  0.00,     2925.0,   0.5031E+28
3.000000,  0.00,     2930.0,   0.5115E+28
3.000000,  0.00,     2935.0,   0.5148E+28
3.000000,  0.00,     2940.0,   0.5087E+28
3.000000,  0.00,     2945.0,   0.5059E+28
3.000000,  0.00,     2950.0,   0.5050E+28
3.000000,  0.00,     2955.0,   0.5111E+28
3.000000,  0.00,     2960.0,   0.5046E+28
3.000000,  0.00,     2965.0,   0.4813E+28
3.000000,  0.00,     2970.0,   0.4644E+28
3.000000,  0.00,     2975.0,   0.4699E+28
3.000000,  0.00,     2980.0,   0.4571E+28
3.000000,  0.00,     2985.0,   0.4332E+28
3.000000,  0.00,     2990.0,   0.4387E+28
3.000000,  0.00,     2995.0,   0.4348E+28
3.000000,  0.00,     3000.0,   0.4213E+28
3.000000,  0.00,     3005.0,   0.4229E+28
3.000000,  0.00,     3010.0,   0.4379E+28
3.000000,  0.00,     3015.0,   0.4467E+28
3.000000,  0.00,     3020.0,   0.4517E+28
3.000000,  0.00,     3025.0,   0.4816E+28
3.000000,  0.00,     3030.0,   0.5184E+28
3.000000,  0.00,     3035.0,   0.5332E+28
3.000000,  0.00,     3040.0,   0.5395E+28
3.000000,  0.00,     3045.0,   0.5554E+28
3.000000,  0.00,     3050.0,   0.5727E+28
3.000000,  0.00,     3055.0,   0.5750E+28
3.000000,  0.00,     3060.0,   0.5795E+28
3.000000,  0.00,     3065.0,   0.5979E+28
3.000000,  0.00,     3070.0,   0.6191E+28
3.000000,  0.00,     3075.0,   0.6321E+28
3.000000,  0.00,     3080.0,   0.6437E+28
3.000000,  0.00,     3085.0,   0.6516E+28
3.000000,  0.00,     3090.0,   0.6418E+28
3.000000,  0.00,     3095.0,   0.6369E+28
3.000000,  0.00,     3100.0,   0.6557E+28
3.000000,  0.00,     3105.0,   0.6991E+28
3.000000,  0.00,     3110.0,   0.7244E+28
