angstrom,flux
1243.192994,0
1243.67496,0
1244.156926,0
1244.638891,0
1245.120857,0
1245.602822,0
1246.084788,0
1246.566754,0
1247.048719,0
1247.530685,0
1248.01265,0
1248.494616,0
1248.976582,0
1249.458547,0
1249.940513,0
1250.422478,0
1250.904444,0.1288014311
1251.38641,0.06380441264
1251.868375,0.06201550388
1252.350341,0
1252.832306,0.1896243292
1253.314272,0.1514609422
1253.796238,0.2820512821
1254.278203,0.4585569469
1254.760169,0.2957662493
1255.242134,0.2969588551
1255.7241,0
1256.206066,0
1256.688031,0
1257.169997,0
1257.651962,0
1258.133928,0
1258.615894,0
1259.097859,0
1259.579825,0
1260.06179,0
1260.543756,0
1261.025722,0
1261.507687,0
1261.989653,0
1262.471618,0
1262.953584,0
1263.43555,0
1263.917515,0
1264.399481,0
1264.881446,0
1265.363412,0
1265.845378,0
1266.327343,0
1266.809309,0
1267.291274,0
1267.77324,0.076326774
1268.255206,0.2110912343
1268.737171,0.1705426357
1269.219137,0.1472868217
1269.701102,0.003375074538
1270.183068,0
1270.665034,0.168157424
1271.146999,0.1514609422
1271.628965,0.1776982707
1272.11093,0.2283840191
1272.592896,0.2104949314
1273.074862,0.3196183661
1273.556827,0.2057245081
1274.038793,0.2707215265
1274.520758,0.3571854502
1275.002724,0.373881932
1275.48469,0.1627906977
1275.966655,0
1276.448621,0
1276.930586,0
1277.412552,0
1277.894518,0
1278.376483,0
1278.858449,0
1279.340414,0
1279.82238,0
1280.304346,0
1280.786311,0
1281.268277,0
1281.750242,0.03643410853
1282.232208,0.08765652952
1282.714174,0.07274895647
1283.196139,0.2158616577
1283.678105,0.1502683363
1284.16007,0.122242099
1284.642036,0.05605247466
1285.124002,0.08527131783
1285.605967,0.1812760883
1286.087933,0.2158616577
1286.569898,0.2540250447
1287.051864,0.2128801431
1287.53383,0.2963625522
1288.015795,0.1276088253
1288.497761,0.1592128801
1288.979726,0.0404889684
1289.461692,0.129994037
1289.943658,0.01997614788
1290.425623,0.1586165772
1290.907589,0.1496720334
1291.389554,0.06440071556
1291.87152,0
1292.353486,0
1292.835451,0
1293.317417,0
1293.799382,0
1294.281348,0
1294.763314,0
1295.245279,0
1295.727245,0
1296.20921,0
1296.691176,0
1297.173142,0
1297.655107,0
1298.137073,0
1298.619038,0
1299.101004,0
1299.58297,0
1300.064935,0
1300.546901,0
1301.028866,0
1301.510832,0
1301.992798,0
1302.474763,0
1302.956729,0
1303.438694,0
1303.92066,0
1304.402626,0
1304.884591,0
1305.366557,0
1305.848522,0
1306.330488,0
1306.812454,0
1307.294419,0
1307.776385,0
1308.25835,0
1308.740316,0
1309.222282,0
1309.704247,0
1310.186213,0
1310.668178,0
1311.150144,0
1311.63211,0
1312.114075,0
1312.596041,0
1313.078006,0
1313.559972,0
1314.041938,0
1314.523903,0
1315.005869,0
1315.487834,0
1315.9698,0
1316.451766,0
1316.933731,0
1317.415697,0
1317.897662,0
1318.379628,0
1318.861594,0
1319.343559,0
1319.825525,0
1320.30749,0
1320.789456,0
1321.271422,0
1321.753387,0
1322.235353,0
1322.717318,0
1323.199284,0
1323.68125,0
1324.163215,0
1324.645181,0
1325.127146,0
1325.609112,0
1326.091078,0
1326.573043,0
1327.055009,0
1327.536974,0
1328.01894,0
1328.500906,0
1328.982871,0
1329.464837,0
1329.946802,0
1330.428768,0
1330.910734,0
1331.392699,0
1331.874665,0
1332.35663,0
1332.838596,0
1333.320562,0
1333.802527,0
1334.284493,0
1334.766458,0
1335.248424,0
1335.73039,0
1336.212355,0
1336.694321,0
1337.176286,0
1337.658252,0
1338.140218,0
1338.622183,0
1339.104149,0
1339.586114,0
1340.06808,0
1340.550046,0
1341.032011,0
1341.513977,0
1341.995942,0
1342.477908,0
1342.959874,0
1343.441839,0
1343.923805,0
1344.40577,0
1344.887736,0
1345.369702,0
1345.851667,0
1346.333633,0
1346.815598,0
1347.297564,0
1347.77953,0
1348.261495,0
1348.743461,0
1349.225426,0
1349.707392,0
1350.189358,0
1350.671323,0
1351.153289,0
