wavelength,transition,gf,E2_cm-1,E2_J
4731.453,S,1.200E-03,44446.878,8.8291315E-19
4923.927,S,2.750E-02,43620.957,8.6650668E-19
5018.440,S,3.980E-02,43238.586,8.5891109E-19
5169.033,S,3.420E-02,42658.224,8.4738251E-19
5284.109,S,7.560E-04,42237.033,8.3901578E-19
