# iter, stel_vel, stel_disp, power_amp, power_slope, na_feii_amp, br_feii_amp, na_oiii5007_core_amp, na_oiii5007_core_fwhm, na_oiii5007_core_voff, na_Hb_core_amp, na_Hb_core_voff, br_Hb_amp, br_Hb_fwhm, br_Hb_voff
 0, 100.0, 100.0, 2.4490485190297018, -1.590696268202716, 0.07020382627652, 0.0010000000002283217, 7.65692295517513, 294.47705519122616, -42.755734046855096, 3.442855308081621, -7.428847771028538, 1.1231187063206356, 2768.3424839383383, 58.25405504163121
100, 99.99992184119527, 99.99999198059824, 2.4485955122939314, -1.5905746568665386, 0.07027367222239012, 0.002070750045047761, 7.65693027798306, 294.47699476268633, -42.75577388457185, 3.4428941955340475, -7.428857546850844, 1.123185244799888, 2768.342606939674, 58.25396285877883
200, 99.71310409423813, 99.97528427589705, 0.8813829332644274, -1.275151038224671, 0.16847859683445904, 0.07226195174866928, 7.70677372573014, 294.7574719013275, -42.91605064854578, 3.8655165984517272, -7.593063126439627, 1.22535993800735, 2768.5904097960265, 58.081090589406514
300, 102.95890902324348, 100.72621756356375, 0.3281498649525598, -1.509783139227486, 0.19427424141973026, 0.08828909911873177, 7.703478627835922, 294.5270507421242, -43.302791103341036, 4.150068912267835, -7.660940687506105, 1.3334774238335312, 2767.741591502822, 58.833150194419986
400, 118.04529203729514, 102.38058305157965, 0.3076083187101523, -1.3789827475153555, 0.1692228075506328, 0.10333615173358873, 7.753747131530512, 291.77207970380385, -44.055338175580815, 4.22969684146038, -3.6215407201473, 1.3178553514995839, 2767.959125276501, 60.38970178453153
500, 131.7651966074167, 108.48090327075055, 0.2667819046846225, -1.502090499114514, 0.17504968515599573, 0.10080272571120988, 7.785239015085984, 290.4391027499838, -43.613213766715994, 4.255302127945706, 0.2023815339452506, 1.3146544044729016, 2773.0362329296245, 59.08389731593309
600, 135.6139173869711, 114.62929380316508, 0.2961233581131393, -1.6580115826703126, 0.20392240771221534, 0.08672484718626591, 7.793267992866729, 289.8939599842218, -42.75541678668687, 4.249034095074097, 3.695869595625, 1.3238066663611028, 2776.3454338903725, 54.56810459398413
700, 136.2233991473314, 116.20609412491892, 0.23485225801569468, -1.4710591923075005, 0.20425939495557177, 0.08297629804082504, 7.797324915483351, 288.7676792877138, -42.44713604539404, 4.304388861979777, 5.183717222456069, 1.2872312146623766, 2759.9717448559477, 71.03580817701912
800, 136.85358066306776, 117.40726122387085, 0.26296784358420655, -1.4848212100870162, 0.19375999875505406, 0.08600688380233429, 7.813329103815978, 287.42738800502616, -42.7759445444469, 4.320684369050051, 6.5449037608237965, 1.304422032792506, 2726.8645335794067, 92.85023084315617
900, 136.5625214308065, 117.4007052944102, 0.2502430802519466, -1.2858907167126552, 0.19766804379508546, 0.07811209866594912, 7.779111313293204, 286.70572928294285, -41.51232097322468, 4.264155489288878, 8.160308035614982, 1.3345216559925186, 2682.2321078944883, 96.18515419407889
1000, 137.49071980838667, 122.04720445882984, 0.2382442406097149, -1.127720313474419, 0.19125044814525488, 0.08849624446386942, 7.8156514051232735, 284.0252217547677, -41.53220871558534, 4.1993628052796845, 7.614957092566579, 1.3473505364647722, 2558.4865481939623, 120.55112442256078
1100, 138.95156926613834, 121.8682240832544, 0.22172938699562542, -1.5482301719450704, 0.17960483921908849, 0.07757902837036776, 7.815471583776448, 282.42237504851016, -41.49620827772465, 4.154743945566376, 5.678335282607883, 1.3500470295681843, 2500.026029931615, 115.49648097511309
1200, 137.9006941971706, 120.3319033867209, 0.22561995638965385, -1.4746281115038196, 0.17866189841525085, 0.0805112074005358, 7.802810129423362, 283.3858333089602, -42.759786919811944, 4.178505438003509, 4.583033527654984, 1.3754409851428502, 2456.8348533128183, 112.61133374183142
1300, 138.58095610413724, 120.6780608159196, 0.22260623338890587, -1.5553010120645234, 0.1764014159334265, 0.08474323849205437, 7.85355401728803, 282.974351771075, -41.12916697385497, 4.184226159342727, 4.825759507017125, 1.3772734715847847, 2433.801444100902, 115.07276004589392
1400, 137.46487078422268, 120.22509965690405, 0.21115636433073043, -1.7072795527488707, 0.17114856016085486, 0.07591469259395815, 7.826692603646046, 283.33598375546666, -41.67429715983104, 4.186090483621717, 4.763696073080739, 1.363691665676416, 2408.1635317836626, 122.44275748864737
1500, 137.0627933919088, 118.94363402303591, 0.22471159438057323, -1.4711419425599956, 0.16425937888495723, 0.08124781364916439, 7.81272919401469, 284.4611711800231, -42.25349567348123, 4.2202405513420285, 4.84138583381802, 1.3846105889659501, 2411.386880951512, 117.4507593416077
1600, 137.36170621597887, 116.89687405907341, 0.21163071633667008, -1.4527344112452762, 0.15803284560031922, 0.07793805467232365, 7.803910792816824, 282.93547250003184, -42.10081552063191, 4.239924298413004, 5.489808231427297, 1.3888963418758369, 2401.600995540982, 102.89403897007756
1700, 139.16108042347298, 117.79302513407056, 0.21122512207143207, -1.5355459482002591, 0.18542603650871534, 0.06912744737393303, 7.807419792455782, 283.5113686509284, -41.569461238173076, 4.25681905221334, 6.9185746361213685, 1.3315179706499434, 2412.4015729720545, 110.32078902399341
1800, 138.36596790958345, 120.80129863080606, 0.2304982421205109, -1.5639199246070756, 0.2030271782694732, 0.07272766176932682, 7.7842393074864304, 281.96349652095677, -41.85154247216588, 4.260790181007766, 5.575389940557862, 1.351148812300353, 2453.282137303776, 116.51655794983539
